,ce
0,1.8079433815111527
1,1.5633901347320662
2,1.3637252461352423
3,1.2009959178532843
4,1.0662317273934958
5,0.9625595608658353
6,0.8762297560065416
7,0.8034267800519537
8,0.7394839321719918
9,0.6871224773508631
10,0.636774660654663
11,0.5910469567858367
12,0.5523249777598852
13,0.514697757864329
14,0.4813585213193447
15,0.44936818375124676
16,0.42233650636838255
17,0.39778538668073027
18,0.3734743367861214
19,0.351416432697397
20,0.3331652389035481
21,0.31387328923368374
22,0.2972079497895993
23,0.2827952777905522
24,0.26680601270711196
25,0.25345184291152856
26,0.2419004383492098
27,0.23006988281910298
28,0.22052087863355205
29,0.20833962537232056
30,0.200150244519037
31,0.19125068926315375
32,0.1831652037605669
33,0.17528072481190518
34,0.16880481114265616
35,0.16108352603129333
36,0.15449683463759398
37,0.14859894152401432
38,0.14220738528454532
39,0.13713698568180901
40,0.13191119139849417
41,0.12713925982704402
42,0.1221730034133384
43,0.11807751467700021
44,0.11388385864668743
45,0.11045493380500704
46,0.1063352014023675
47,0.10304361785821733
48,0.099278920451163
49,0.0964144272616769
50,0.09367716357602611
51,0.09033639759367632
52,0.08761096216957738
53,0.08478145817846731
54,0.08230131196965378
55,0.08018631493895471
56,0.07723722815436135
57,0.07556358254813239
58,0.07316965798958748
59,0.07129342415639597
60,0.06940979963132993
61,0.06760231103341335
62,0.06639139964350174
63,0.06446251684744912
64,0.06245861194730838
65,0.06130042091089477
66,0.059592896249255026
67,0.05862056834871786
68,0.05737327961848348
69,0.05579776154827824
70,0.054860604255487645
71,0.054307515395601864
72,0.052334213635821275
73,0.05101171291499452
74,0.050478030251180896
75,0.049724366338326366
76,0.04874570474377228
77,0.047822096512573846
78,0.046884277164032186
79,0.04603575551930809
80,0.04521978376320268
81,0.04459497906861623
82,0.04379163248274004
83,0.04302333490325839
84,0.042479528769515
85,0.042192666021464605
86,0.041485364792587645
87,0.040691126328433
88,0.040300729405296325
89,0.03954297743182455
90,0.03918421824996971
91,0.03889171817893585
92,0.03876475313520204
93,0.0376688772860908
94,0.037240330413939426
95,0.036682975012001996
96,0.036517332790603464
97,0.03618020079448896
98,0.03561581188628847
99,0.035343125798260114
